,종목코드,종목명,EPS,PER,BPS,PBR,주당배당금,배당수익률
254,212560,네오오토,1514.0,6.06,13688.0,0.67,150,1.64
255,095660,네오위즈,2380.0,8.61,24005.0,0.85,245,1.2
256,042420,네오위즈홀딩스,1049.0,16.97,50721.0,0.35,0,0.0
257,092730,네오팜,2968.0,7.09,20462.0,1.03,750,3.56
258,005720,넥센,778.0,6.17,22055.0,0.22,125,2.6
259,002350,넥센타이어,1001.0,7.51,16524.0,0.46,115,1.53
260,089140,넥스턴바이오,1087.0,2.94,14687.0,0.22,0,0.0
261,348210,넥스틴,3088.0,16.94,12469.0,4.19,500,0.96
262,092790,넥스틸,5470.0,1.48,17112.0,0.47,700,8.62
263,225570,넥슨게임즈,177.0,128.25,4117.0,5.51,0,0.0
264,104620,노랑풍선,374.0,13.64,2543.0,2.01,0,0.0
265,090350,노루페인트,1362.0,6.84,18290.0,0.51,325,3.49
266,000320,노루홀딩스,2429.0,5.55,39422.0,0.34,500,3.71
267,194700,노바렉스,1245.0,8.36,11311.0,0.92,200,1.92
268,285490,노바텍,2930.0,4.57,15227.0,0.88,500,3.73
269,145170,노브랜드,112.0,145.8,14585.0,1.12,0,0.0
270,142280,녹십자엠에스,85.0,71.88,1636.0,3.73,0,0.0
271,234690,녹십자웰빙,380.0,24.21,5655.0,1.63,100,1.09
272,004370,농심,29728.0,13.77,420264.0,0.97,5000,1.22
273,072710,농심홀딩스,14478.0,4.68,242037.0,0.28,2500,3.69
274,054050,농우바이오,645.0,11.77,16055.0,0.47,200,2.64
275,040160,누리플렉스,260.0,10.9,7304.0,0.39,50,1.76
276,214870,뉴지랩파마,300.0,23.07,,,0,0.0
277,270870,뉴트리,513.0,18.01,11096.0,0.83,0,0.0
278,144960,뉴파워프라즈마,475.0,12.02,6007.0,0.95,50,0.88
279,085670,뉴프렉스,278.0,18.53,2991.0,1.72,0,0.0
280,154040,다산솔루에타,1491.0,0.99,3322.0,0.44,0,0.0
281,058730,다스코,764.0,4.49,8251.0,0.42,100,2.92
282,023590,다우기술,5237.0,3.48,58374.0,0.31,700,3.84
283,032190,다우데이타,1660.0,6.89,30801.0,0.37,250,2.19
284,068240,다원시스,108.0,96.48,6041.0,1.72,0,0.0
285,008060,대덕,364.0,17.17,17308.0,0.36,400,6.4
286,353200,대덕전자,492.0,43.19,16857.0,1.26,300,1.41
287,000490,대동,794.0,12.44,19071.0,0.52,100,1.01
288,020400,대동금속,260.0,26.65,16443.0,0.42,60,0.87
289,008830,대동기어,308.0,26.14,9686.0,0.83,40,0.5
290,008110,대동전자,1122.0,13.4,26394.0,0.57,0,0.0
291,004780,대륙제관,822.0,4.8,8909.0,0.44,110,2.79
292,017650,대림제지,2201.0,3.28,31419.0,0.23,100,1.38
293,389260,대명에너지,360.0,36.31,7094.0,1.84,0,0.0
294,078140,대봉엘에스,382.0,35.13,11027.0,1.22,50,0.37
295,001680,대상,1862.0,11.52,36679.0,0.58,800,3.73
296,084690,대상홀딩스,568.0,15.85,20000.0,0.45,270,3.0
297,117580,대성에너지,549.0,17.92,11752.0,0.84,250,2.54
