종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"017890","한국알콜","10590","-260","-2.40","489","21.66",,,"23303","0.45","285","2.69"
"080720","한국유니온제약","5780","180","3.21",,,,,"4196","1.38","0","0.00"
"063570","한국전자금융","4960","10","0.20","471","10.53","633","7.84","5987","0.83","125","2.52"
"041460","한국전자인증","3655","45","1.25","126","29.01",,,"2834","1.29","70","1.92"
"101680","한국정밀기계","2585","-20","-0.77",,,,,"4844","0.53","0","0.00"
"039740","한국정보공학","2770","15","0.54","249","11.12",,,"5737","0.48","0","0.00"
"053300","한국정보인증","3980","30","0.76","229","17.38",,,"4353","0.91","70","1.76"
"025770","한국정보통신","8490","210","2.54","838","10.13",,,"7585","1.12","0","0.00"
"436610","한국제11호스팩","3360","-50","-1.47",,,,,,,"0","0.00"
"458610","한국제12호스팩","2270","5","0.22",,,,,,,"0","0.00"
"464440","한국제13호스팩","2195","-5","-0.23",,,,,,,"0","0.00"
"477530","한국제14호스팩","2130","-10","-0.47",,,,,,,"0","0.00"
"479880","한국제15호스팩","2055","0","0.00",,,,,,,"0","0.00"
"023760","한국캐피탈","590","5","0.85","199","2.96",,,"1958","0.30","28","4.75"
"054040","한국컴퓨터","6070","50","0.83","1513","4.01",,,"10063","0.60","300","4.94"
"021650","한국큐빅","2470","10","0.41","509","4.85",,,"5323","0.46","70","2.83"
"053590","한국테크놀로지","334","0","0.00",,,,,,,"0","0.00"
"032300","한국파마","19530","-570","-2.84","8","2441.25",,,"6288","3.11","50","0.26"
"037230","한국팩키지","1907","0","0.00","137","13.92",,,"3618","0.53","40","2.10"
"030520","한글과컴퓨터","19670","880","4.68","633","31.07","1902","10.34","14031","1.40","410","2.08"
"052600","한네트","3880","-10","-0.26","213","18.22",,,"3167","1.23","150","3.87"
"256150","한독크린텍","7100","-60","-0.84","667","10.64",,,"7121","1.00","250","3.52"
"092460","한라IMS","7460","60","0.81","4212","1.77",,,"9928","0.75","300","4.02"
"452190","한빛레이저","5460","875","19.08",,,,,"1104","4.95","0","0.00"
"047080","한빛소프트","1482","13","0.88",,,,,"405","3.66","0","0.00"
"452280","한선엔지니어링","12160","70","0.58","345","35.25",,,"3230","3.76","0","0.00"
"066980","한성크린텍","1857","34","1.87","18","103.17",,,"2605","0.71","0","0.00"
"114810","한솔아이원스","10480","30","0.29","77","136.10","1086","9.65","5502","1.90","0","0.00"
"070590","한솔인티큐브","1162","13","1.13",,,,,"1216","0.96","0","0.00"
"226440","한송네오텍","1530","0","0.00",,,,,"317","4.83","0","0.00"
"042520","한스바이오메드","10360","-120","-1.15",,,,,"4244","2.44","0","0.00"
"430690","한싹","5630","330","6.23","375","15.01",,,"3263","1.73","0","0.00"
"078350","한양디지텍","16150","920","6.04","846","19.09",,,"8912","1.81","0","0.00"
"045100","한양이엔지","18460","370","2.05","4540","4.07",,,"31478","0.59","600","3.25"
"320000","한울반도체","2355","-45","-1.88","84","28.04",,,"1313","1.79","0","0.00"
"091440","한울소재과학","6170","20","0.33",,,,,"1579","3.91","0","0.00"
"024740","한일단조","2090","0","0.00","239","8.74",,,"3830","0.55","0","0.00"
"005860","한일사료","4475","20","0.45","2921","1.53",,,"3961","1.13","75","1.68"
"007770","한일화학","12220","-10","-0.08",,,,,"29508","0.41","50","0.41"
"198940","한주라이트메탈","1029","20","1.98",,,,,"1273","0.81","0","0.00"
"058450","한주에이알티","2520","35","1.41",,,,,"1763","1.43","0","0.00"
"107640","한중엔시에스","43700","350","0.81",,,,,"1891","23.11","0","0.00"
"079170","한창산업","8130","-30","-0.37","301","27.01",,,"11953","0.68","160","1.97"
"054920","한컴위드","2545","80","3.25","36","70.69",,,"5689","0.45","0","0.00"
"002680","한탑","781","11","1.43",,,,,"1681","0.46","0","0.00"
"430460","한화플러스제3호스팩","2215","0","0.00",,,,,,,"0","0.00"
"455310","한화플러스제4호스팩","2170","0","0.00",,,,,,,"0","0.00"
"034810","해성산업","7060","10","0.14",,,,,"23855","0.30","225","3.19"
"03481K","해성산업1우","8110","-30","-0.37",,,,,,,"230","2.84"
"059270","해성에어로보틱스","10260","10","0.10",,,,,"3656","2.81","0","0.00"
"076610","해성옵틱스","1347","-2","-0.15",,,,,"1571","0.86","0","0.00"
"220180","핸디소프트","3225","25","0.78","107","30.14",,,"3469","0.93","0","0.00"
"214180","헥토이노베이션","13290","10","0.08","1911","6.95","2263","5.87","13612","0.98","360","2.71"
"234340","헥토파이낸셜","17390","140","0.81","1355","12.83","1654","10.52","16558","1.05","350","2.01"
"084990","헬릭스미스","4115","-195","-4.52",,,,,"3144","1.31","0","0.00"
"170030","현대공업","6260","110","1.79","869","7.20",,,"9542","0.66","200","3.19"
"319400","현대무벡스","2975","35","1.19","36","82.64",,,"1367","2.18","30","1.01"
"048410","현대바이오","20200","-1000","-4.72",,,,,"1137","17.77","0","0.00"
"052260","현대바이오랜드","6160","320","5.48","269","22.90","387","15.93","4533","1.36","70","1.14"
"016790","현대사료","994","0","0.00",,,,,,,"0","0.00"
"041440","현대에버다임","7970","220","2.84","358","22.26",,,"10235","0.78","70","0.88"
"039010","현대에이치티","6460","-80","-1.22",,,,,"11307","0.57","130","2.01"
"090850","현대이지웰","5640","130","2.36",,,,,"3684","1.53","90","1.60"
"460930","현대힘스","13330","80","0.60","576","23.14",,,"5974","2.23","0","0.00"
"092300","현우산업","3250","70","2.20","568","5.72",,,"5492","0.59","100","3.08"
"138360","협진","841","0","0.00",,,,,"1083","0.78","0","0.00"
"011080","형지I&C","620","-2","-0.32","73","8.49",,,"1184","0.52","0","0.00"
"060560","홈센타홀딩스","1026","13","1.28","181","5.67",,,"1245","0.82","20","1.95"
"064240","홈캐스트","3260","-30","-0.91",,,,,"2428","1.34","0","0.00"
"039610","화성밸브","11850","530","4.68","775","15.29",,,"8503","1.39","0","0.00"
"126640","화신정공","1334","23","1.75","258","5.17",,,"3370","0.40","50","3.75"
"127980","화인써키트","7400","40","0.54","395","18.73",,,"3597","2.06","400","5.41"
"061250","화일약품","1787","-59","-3.20","59","30.29",,,"2718","0.66","0","0.00"
"097870","효성오앤비","6960","180","2.65","155","44.90",,,"8899","0.78","0","0.00"
"290270","휴네시온","3850","20","0.52","720","5.35",,,"4482","0.86","40","1.04"
"353190","휴럼","970","3","0.31","84","11.55","168","5.76","978","0.99","0","0.00"
"192410","휴림네트웍스","24150","-500","-2.03",,,,,"20560","1.17","0","0.00"
"090710","휴림로봇","1678","31","1.88",,,,,"888","1.89","0","0.00"
"078590","휴림에이텍","743","7","0.95","155","4.79",,,"807","0.92","0","0.00"
"205470","휴마시스","2980","-25","-0.83",,,,,"2259","1.32","0","0.00"
"115160","휴맥스","1929","27","1.42",,,,,"5000","0.39","0","0.00"
"028080","휴맥스홀딩스","3455","70","2.07",,,,,"6958","0.50","0","0.00"
"175140","휴먼테크놀로지","6160","-120","-1.91",,,,,"2612","2.36","0","0.00"
"200670","휴메딕스","35600","-650","-1.79","2512","14.17","3989","8.92","19054","1.87","525","1.47"
"065510","휴비츠","10650","200","1.91","928","11.48",,,"10186","1.05","200","1.88"
"215090","휴센텍","1505","0","0.00",,,,,"270","5.57","0","0.00"
"263920","휴엠앤씨","1105","-5","-0.45","210","5.26",,,"826","1.34","0","0.00"
"243070","휴온스","30300","600","2.02","4261","7.11",,,"27406","1.11","630","2.08"
"084110","휴온스글로벌","26150","-350","-1.32","3134","8.34",,,"40972","0.64","525","2.01"
"145020","휴젤","287000","500","0.17","8217","34.93","11446","25.07","68347","4.20","0","0.00"
"024060","흥구석유","16130","-370","-2.24","78","206.79",,,"5440","2.97","50","0.31"
"010240","흥국","5100","20","0.39","1182","4.31",,,"8598","0.59","240","4.71"
"189980","흥국에프엔비","1898","1","0.05","221","8.59",,,"2449","0.78","40","2.11"
"037440","희림","5590","120","2.19","489","11.43","1269","4.41","5583","1.00","150","2.68"
"238490","힘스","4750","20","0.42","511","9.30",,,"6174","0.77","50","1.05"
